Ticker,P_Values_SSR_FTest,P_Values_Params_FTest,Is_Granger_Caused,Status
SPY,"[0.009469397789730443, 0.029746830221818635, 0.008131646748450023, 0.020033193029102815, 0.01597670623093862]","[0.009469397789730577, 0.029746830221817233, 0.008131646748449763, 0.020033193029105296, 0.01597670623093893]",True,OK
QQQ,"[0.015753121449946648, 0.03915276260261943, 0.02471435541876197, 0.05424697090161805, 0.03135128272984187]","[0.015753121449946648, 0.03915276260262027, 0.024714355418760443, 0.054246970901616, 0.03135128272984145]",True,OK
IWM,"[0.01941064860626488, 0.04691623882981676, 0.016707465541830238, 0.03251222848993125, 0.05063794420267974]","[0.019410648606263802, 0.04691623882981801, 0.016707465541830238, 0.03251222848992958, 0.05063794420268284]",True,OK
EFA,"[0.18671069402501675, 0.16951615964589445, 0.07893870532803439, 0.1433574120487362, 0.17338909070528774]","[0.18671069402501675, 0.16951615964588906, 0.07893870532803705, 0.14335741204874305, 0.173389090705297]",False,OK
EEM,"[0.1434437682856982, 0.13416287325163578, 0.1732727748980408, 0.2640349525174313, 0.36032576385949666]","[0.143443768285711, 0.13416287325163578, 0.1732727748980408, 0.26403495251743614, 0.36032576385950565]",False,OK
AGG,"[0.723537149127891, 0.9142528387088306, 0.9519861909870055, 0.8683973949703088, 0.9586998750205631]","[0.7235371491277186, 0.914252838708886, 0.9519861909870451, 0.8683973949702686, 0.9586998750205732]",False,OK
TLT,"[0.32678329593264155, 0.5000096637693492, 0.7031424738836825, 0.48587812263130836, 0.6668154753635114]","[0.3267832959326519, 0.500009663769309, 0.7031424738836543, 0.48587812263134567, 0.6668154753634922]",False,OK
GLD,"[0.862188980111933, 0.873769564354826, 0.9516874086886771, 0.98619186335952, 0.9800729004924891]","[0.862188980112025, 0.8737695643547729, 0.9516874086886691, 0.9861918633595289, 0.9800729004924749]",False,OK
USO,"[0.20927749991047487, 0.0829212288923268, 0.0031057624204301445, 0.007248075066156656, 0.009603711827109642]","[0.2092774999104966, 0.08292122889232915, 0.0031057624204303847, 0.007248075066156148, 0.009603711827109642]",True,OK
VNQ,"[0.17926207329179814, 0.34313556973865256, 0.21639973002985377, 0.2663360870066222, 0.350857619589577]","[0.17926207329181698, 0.3431355697386802, 0.21639973002985138, 0.2663360870066105, 0.3508576195895829]",False,OK
GSG,"[0.18787965656384636, 0.10523531683159322, 0.00409141356576767, 0.009959400416319684, 0.017279161233928433]","[0.18787965656383648, 0.10523531683159322, 0.004091413565767565, 0.009959400416319887, 0.017279161233927774]",True,OK
HYG,"[0.18546279468723456, 0.35668752865601155, 0.09670757588559416, 0.08487829224945795, 0.13192263861992348]","[0.1854627946872346, 0.3566875286559686, 0.0967075758855963, 0.08487829224946537, 0.13192263861992437]",False,OK
