"","beta_sentiment","p_value_sentiment"
"SPY",1.24699767618143e-05,0.21108154082151
"QQQ",1.30577103324438e-05,0
"IWM",2.41459575778846e-05,0.627090794874584
"EFA",1.21479015695247e-05,0
"EEM",2.64145767762883e-05,0.0100797889852369
"AGG",1.03399119787299e-08,0.998699266871501
"TLT",5.17675961931891e-09,0.993586776236242
"GLD",2.33825481437861e-06,0
"USO",2.66813249237286e-05,0.273300784602613
"VNQ",2.07290314857566e-05,0.28575261373802
"GSG",1.32804964918391e-05,0
"HYG",1.06260226683755e-06,0
"IBIT",3.86769359714002e-12,0.999999341753352
